timestamp,cpu_percent,memory_percent,memory_available_mb,disk_write_mbps,process_count
2026-08-02 10:35:01,0.0,68.5,3830.34,0.0,224
2026-08-02 10:35:12,20.7,71.5,3466.58,0.12,219
2026-08-02 10:35:17,11.3,71.5,3467.32,0.14,219
2026-08-02 10:35:22,7.8,71.4,3475.03,0.09,219
2026-08-02 10:35:27,16.1,71.2,3500.01,0.07,219
2026-08-02 10:35:32,43.8,72.5,3344.98,0.3,219
2026-08-02 10:35:37,42.0,72.8,3307.54,0.31,219
2026-08-02 10:35:42,23.5,73.3,3246.55,0.37,220
2026-08-02 10:35:47,52.2,75.2,3015.54,0.48,220
2026-08-02 10:35:52,40.2,74.7,3073.35,0.69,220
2026-08-02 10:35:57,13.4,73.9,3180.52,0.45,220
2026-08-02 10:36:02,25.5,74.2,3137.17,0.14,220
2026-08-02 10:36:07,18.6,73.6,3212.76,0.12,220
2026-08-02 10:36:12,29.5,74.6,3094.43,0.24,221
2026-08-02 10:36:17,35.7,73.9,3178.85,0.28,221
2026-08-02 10:36:22,20.1,73.3,3245.11,0.18,220
2026-08-02 10:36:28,19.7,73.4,3234.81,0.13,222
2026-08-02 10:36:32,27.1,74.0,3157.62,0.2,220
2026-08-02 10:36:37,18.5,74.9,3056.57,0.15,220
2026-08-02 10:36:42,23.6,74.1,3150.6,0.14,220
2026-08-02 10:36:47,18.3,73.6,3215.48,0.11,220
2026-08-02 10:36:52,16.0,73.7,3201.18,0.08,220
2026-08-02 10:36:57,19.2,73.8,3192.16,0.1,220
2026-08-02 10:37:02,9.4,73.7,3201.74,0.11,220
2026-08-02 10:37:07,8.4,73.6,3211.08,0.27,220
2026-08-02 10:37:12,12.9,73.8,3189.93,0.11,220
2026-08-02 10:37:17,8.1,73.6,3216.05,0.09,220
2026-08-02 10:37:22,5.6,73.5,3220.81,0.19,220
2026-08-02 10:37:27,5.8,73.4,3230.51,0.1,220
2026-08-02 10:37:32,5.9,73.6,3215.14,0.09,220
2026-08-02 10:37:37,12.4,73.6,3211.78,0.12,220
2026-08-02 10:37:42,13.2,73.7,3202.99,0.19,220
2026-08-02 10:37:47,10.1,73.3,3250.57,1.27,220
2026-08-02 10:37:52,7.5,73.2,3265.65,0.23,219
2026-08-02 10:37:57,12.7,73.1,3273.09,0.06,219
2026-08-02 10:38:02,9.6,72.9,3301.52,0.13,219
2026-08-02 10:38:07,5.1,72.8,3309.83,0.13,219
2026-08-02 10:38:12,5.3,72.8,3310.97,0.18,219
2026-08-02 10:38:17,5.5,72.9,3300.87,0.1,219
2026-08-02 10:38:22,7.7,72.7,3315.66,0.12,218
2026-08-02 10:38:27,5.2,72.7,3316.81,0.1,218
2026-08-02 10:38:32,4.8,72.8,3306.88,0.14,218
2026-08-02 10:38:37,6.9,72.3,3374.95,0.53,218
2026-08-02 10:38:42,5.0,72.3,3368.55,0.09,218
2026-08-02 10:38:47,9.0,72.2,3385.14,0.09,218
2026-08-02 10:38:52,5.7,72.1,3390.36,0.09,218
2026-08-02 10:38:57,5.9,72.2,3380.64,0.14,218
2026-08-02 10:39:02,5.2,72.3,3372.02,0.1,218
2026-08-02 10:39:07,5.5,72.4,3363.32,0.1,218
2026-08-02 10:39:12,8.7,72.3,3371.78,0.09,218
2026-08-02 10:39:17,5.8,72.3,3376.2,0.07,218
2026-08-02 10:39:22,4.9,72.2,3387.73,0.13,218
2026-08-02 10:39:27,5.1,72.3,3371.53,0.1,218
2026-08-02 10:39:32,5.9,72.4,3360.63,0.15,218
2026-08-02 10:39:37,5.8,72.4,3360.76,0.12,218
2026-08-02 10:39:43,21.8,73.1,3269.75,0.14,221
2026-08-02 10:39:47,21.2,73.6,3206.47,0.29,219
2026-08-02 10:39:52,11.1,74.4,3111.45,0.16,219
2026-08-02 10:39:57,25.1,73.6,3206.91,0.07,219
2026-08-02 10:40:02,30.0,73.4,3241.52,0.17,219
2026-08-02 10:40:07,7.4,73.5,3227.38,0.17,220
2026-08-02 10:40:12,8.2,73.4,3235.18,0.13,219
2026-08-02 10:40:17,9.0,73.4,3237.08,0.1,220
2026-08-02 10:40:22,28.0,73.5,3227.6,0.45,220
2026-08-02 10:40:27,10.0,73.4,3239.34,0.09,220
2026-08-02 10:40:32,17.3,73.2,3263.13,0.22,220
2026-08-02 10:40:37,6.9,73.0,3291.04,0.24,220
2026-08-02 10:40:42,11.6,73.1,3270.0,0.15,220
2026-08-02 10:40:47,7.2,73.0,3291.09,0.1,220
2026-08-02 10:40:52,8.2,72.9,3301.46,0.21,219
2026-08-02 10:40:57,10.0,72.9,3302.57,0.11,219
2026-08-02 10:41:02,7.2,72.8,3308.85,0.14,219
2026-08-02 10:41:07,13.2,73.0,3285.69,0.12,219
2026-08-02 10:41:12,8.6,73.2,3262.82,0.14,219
2026-08-02 10:41:17,16.2,73.0,3282.85,0.1,219
2026-08-02 10:41:22,14.4,72.5,3348.22,0.08,219
2026-08-02 10:41:27,9.1,72.4,3356.19,0.12,219
2026-08-02 10:41:33,15.9,74.3,3132.06,0.17,219
2026-08-02 10:41:37,31.4,75.0,3038.79,0.92,219
2026-08-02 10:41:42,11.2,74.5,3102.79,0.55,219
2026-08-02 10:41:47,13.7,74.0,3163.76,0.09,219
2026-08-02 10:41:52,8.5,74.0,3157.77,0.09,219
2026-08-02 10:41:57,21.3,74.7,3072.92,0.47,219
2026-08-02 10:42:02,15.7,74.9,3057.08,0.52,219
2026-08-02 10:42:07,13.0,74.6,3093.2,0.11,219
2026-08-02 10:42:12,16.5,73.9,3176.89,0.09,219
2026-08-02 10:42:17,11.1,74.0,3159.89,0.22,219
2026-08-02 10:42:22,8.2,73.7,3199.99,0.1,219
2026-08-02 10:42:27,5.2,73.7,3199.11,0.11,219
2026-08-02 10:42:32,6.5,73.7,3198.88,0.14,219
2026-08-02 10:42:37,5.1,73.8,3193.74,0.16,217
2026-08-02 10:42:42,5.1,73.8,3190.51,0.1,217
2026-08-02 10:42:47,9.6,73.6,3207.53,0.15,217
2026-08-02 10:42:52,5.5,73.6,3206.2,0.14,217
2026-08-02 10:42:57,5.1,73.7,3204.39,0.09,217
2026-08-02 10:43:02,5.6,73.8,3191.7,0.07,217
2026-08-02 10:43:07,8.5,73.8,3184.61,0.18,217
2026-08-02 10:43:12,4.8,73.7,3199.77,0.07,217
2026-08-02 10:43:17,5.1,73.8,3193.55,0.07,217
2026-08-02 10:43:22,5.7,73.7,3194.23,0.16,217
2026-08-02 10:43:27,4.8,73.8,3192.39,0.1,217
2026-08-02 10:43:32,5.5,73.8,3190.21,0.08,217
2026-08-02 10:43:37,10.1,73.7,3201.63,0.24,217
2026-08-02 10:43:42,11.5,74.3,3129.65,0.26,218
2026-08-02 10:43:47,16.6,74.2,3143.39,0.26,219
2026-08-02 10:43:52,18.3,73.6,3207.86,0.3,219
2026-08-02 10:43:57,5.9,73.7,3196.7,0.13,220
2026-08-02 10:44:03,6.0,73.8,3184.12,0.09,220
2026-08-02 10:44:08,6.6,73.9,3174.19,0.15,220
2026-08-02 10:44:13,7.9,73.7,3199.74,0.24,221
2026-08-02 10:44:18,10.1,73.6,3211.54,0.17,221
2026-08-02 10:44:23,7.2,73.6,3215.57,0.08,221
2026-08-02 10:44:28,6.4,73.6,3208.91,0.1,220
2026-08-02 10:44:33,6.1,73.6,3210.02,0.14,220
2026-08-02 10:44:38,5.5,73.7,3195.57,0.09,220
2026-08-02 10:44:43,10.9,73.5,3228.39,0.07,220
2026-08-02 10:44:48,6.1,73.4,3240.31,0.16,220
