Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,MCC,Specificity,Latency (ms),CPU (%),RAM (MB)
Random Forest,0.9687,0.9907,0.9686,0.9795,0.9961,0.9143,0.9691,61.82,2.3,0.51
Isolation Forest,0.776,0.776,0.998,0.8731,0.0,0.1104,0.0241,18.96,1.8,0.0
One-Class SVM,0.7784,0.7837,0.9848,0.8728,0.0,0.1576,0.079,4.32,3.4,0.0
XGBoost,0.9757,0.9887,0.9797,0.9842,0.9963,0.9319,0.9622,3.68,18.3,0.12
LSTM Autoencoder,0.4258,0.9288,0.2785,0.4285,0.0,0.2043,0.9273,143.53,0.0,19.45
Compressed IF,0.8034,0.803,0.9878,0.8859,0.8393,0.3201,0.1787,19.07,3.9,0.0
Random Forest,0.9687,0.9907,0.9686,0.9795,0.9961,0.9143,0.9691,62.62,5.5,0.51
Isolation Forest,0.776,0.776,0.998,0.8731,0.0,0.1104,0.0241,19.47,0.0,0.07
One-Class SVM,0.7784,0.7837,0.9848,0.8728,0.0,0.1576,0.079,6.27,3.2,0.0
XGBoost,0.9757,0.9887,0.9797,0.9842,0.9963,0.9319,0.9622,6.35,17.6,0.12
LSTM Autoencoder,0.4038,0.9182,0.251,0.3943,0.0,0.1795,0.9239,136.83,1.9,4.89
Compressed IF,0.8034,0.803,0.9878,0.8859,0.8393,0.3201,0.1787,23.57,0.0,0.0
Random Forest,0.9788,0.9911,0.9814,0.9862,0.9973,0.9404,0.9698,50.09,2.5,0.35
Isolation Forest,0.782,0.7817,0.9965,0.8761,0.0,0.1614,0.0483,18.82,1.7,0.0
One-Class SVM,0.7738,0.7787,0.9885,0.8712,0.0,0.088,0.0393,5.55,5.5,0.0
XGBoost,0.9815,0.9859,0.9903,0.9881,0.9974,0.9471,0.9517,4.5,13.9,0.13
LSTM Autoencoder,0.4503,0.9382,0.3094,0.4653,0.0,0.2305,0.9305,151.08,6.8,20.84
Compressed IF,0.81,0.805,0.9956,0.8902,0.8499,0.3521,0.1752,20.26,6.5,0.0
